dataset,seed,layer,dfe,label
gaussian,10.0,2.0,0.05693509057164192,conditional
gaussian,10.0,2.0,0.05167149861454925,accumulated
gaussian,10.0,1.0,0.4796167016029358,marginal
gaussian,10.0,1.0,0.48475855588912964,conditional
gaussian,10.0,1.0,0.12842072748919442,accumulated
gaussian,11.0,3.0,0.019607478752732277,marginal
gaussian,11.0,3.0,0.017782973125576973,conditional
gaussian,11.0,3.0,0.02392267818084563,accumulated
gaussian,11.0,2.0,0.20383505523204803,marginal
gaussian,11.0,2.0,0.20911867916584015,conditional
gaussian,11.0,2.0,0.0850392756141035,accumulated
gaussian,11.0,1.0,0.10989876836538315,marginal
gaussian,11.0,1.0,0.14041733741760254,conditional
gaussian,11.0,1.0,0.1632836540040356,accumulated
gaussian,12.0,3.0,0.0028303000144660473,marginal
gaussian,12.0,3.0,0.002777988091111183,conditional
gaussian,12.0,3.0,0.005219817961058368,accumulated
gaussian,12.0,2.0,0.08659921586513519,marginal
gaussian,12.0,2.0,0.09184791892766953,conditional
gaussian,12.0,2.0,0.06824542063794391,accumulated
gaussian,12.0,1.0,0.4142250418663025,marginal
gaussian,12.0,1.0,0.43550509214401245,conditional
gaussian,12.0,1.0,0.11560557601711878,accumulated
gaussian,13.0,3.0,0.017945796251296997,marginal
gaussian,13.0,3.0,0.016985507681965828,conditional
gaussian,13.0,3.0,0.023132211273080523,accumulated
gaussian,13.0,2.0,0.09844493865966797,marginal
gaussian,13.0,2.0,0.103240966796875,conditional
gaussian,13.0,2.0,0.07547734432394822,accumulated
gaussian,13.0,1.0,0.41313228011131287,marginal
gaussian,13.0,1.0,0.42370811104774475,conditional
gaussian,13.0,1.0,0.12239042314930866,accumulated
gaussian,14.0,3.0,0.011746191419661045,marginal
gaussian,14.0,3.0,0.011678225360810757,conditional
gaussian,14.0,3.0,0.01654942515265661,accumulated
gaussian,14.0,2.0,0.18475785851478577,marginal
gaussian,14.0,2.0,0.1846485584974289,conditional
gaussian,14.0,2.0,0.08497491088467787,accumulated
gaussian,14.0,1.0,0.5183531641960144,marginal
gaussian,14.0,1.0,0.5130780935287476,conditional
gaussian,14.0,1.0,0.12737771969418626,accumulated
gaussian,15.0,3.0,0.0021710144355893135,marginal
gaussian,15.0,3.0,0.002812117338180542,conditional
gaussian,15.0,3.0,0.004819533156817603,accumulated
gaussian,15.0,2.0,0.06298008561134338,marginal
gaussian,15.0,2.0,0.05644091218709946,conditional
gaussian,15.0,2.0,0.04734960470123964,accumulated
gaussian,15.0,1.0,0.5178329348564148,marginal
gaussian,15.0,1.0,0.5120449662208557,conditional
gaussian,15.0,1.0,0.1280831209630348,accumulated
gaussian,16.0,3.0,0.01796673610806465,marginal
gaussian,16.0,3.0,0.016247030347585678,conditional
gaussian,16.0,3.0,0.021814791355480437,accumulated
gaussian,16.0,2.0,0.03045346960425377,marginal
gaussian,16.0,2.0,0.035611096769571304,conditional
gaussian,16.0,2.0,0.0457251530891514,accumulated
gaussian,16.0,1.0,0.3258613646030426,marginal
gaussian,16.0,1.0,0.3404237627983093,conditional
gaussian,16.0,1.0,0.129147184076076,accumulated
gaussian,17.0,3.0,0.035652440041303635,marginal
gaussian,17.0,3.0,0.03418755158782005,conditional
gaussian,17.0,3.0,0.04266800315846195,accumulated
gaussian,17.0,2.0,0.13985556364059448,marginal
gaussian,17.0,2.0,0.14085164666175842,conditional
gaussian,17.0,2.0,0.08126724856409677,accumulated
gaussian,17.0,1.0,0.19528213143348694,marginal
gaussian,17.0,1.0,0.23309031128883362,conditional
gaussian,17.0,1.0,0.1348187561185843,accumulated
gaussian,18.0,3.0,0.014138905331492424,marginal
gaussian,18.0,3.0,0.012859055772423744,conditional
gaussian,18.0,3.0,0.01750911628084859,accumulated
gaussian,18.0,2.0,0.1571793109178543,marginal
gaussian,18.0,2.0,0.1665675938129425,conditional
gaussian,18.0,2.0,0.09276582657363183,accumulated
gaussian,18.0,1.0,0.47961679100990295,marginal
gaussian,18.0,1.0,0.48475855588912964,conditional
gaussian,18.0,1.0,0.1284207274891945,accumulated
gaussian,19.0,3.0,0.01909918151795864,marginal
gaussian,19.0,3.0,0.018321817740797997,conditional
gaussian,19.0,3.0,0.023092796417155944,accumulated
gaussian,19.0,2.0,0.052373845130205154,marginal
gaussian,19.0,2.0,0.06123809143900871,conditional
gaussian,19.0,2.0,0.07198292439095733,accumulated
gaussian,19.0,1.0,0.47007209062576294,marginal
gaussian,19.0,1.0,0.4777178168296814,conditional
gaussian,19.0,1.0,0.12737718959876587,accumulated
pima,0.0,3.0,0.15134337544441223,marginal
pima,0.0,3.0,0.15048247575759888,conditional
pima,0.0,3.0,0.04228696941987875,accumulated
pima,0.0,2.0,0.06591944396495819,marginal
pima,0.0,2.0,0.08619633316993713,conditional
pima,0.0,2.0,0.060643630745427106,accumulated
pima,0.0,1.0,0.21641898155212402,marginal
pima,0.0,1.0,0.2845701277256012,conditional
pima,0.0,1.0,0.24267982654915776,accumulated
pima,1.0,3.0,0.07150526344776154,marginal
pima,1.0,3.0,0.06875243782997131,conditional
pima,1.0,3.0,0.03035389534734055,accumulated
pima,1.0,2.0,0.582208514213562,marginal
pima,1.0,2.0,0.5049861669540405,conditional
pima,1.0,2.0,0.10243966014579498,accumulated
pima,1.0,1.0,0.3863314390182495,marginal
pima,1.0,1.0,0.38585394620895386,conditional
pima,1.0,1.0,0.18053327702306005,accumulated
pima,2.0,3.0,0.012096121907234192,marginal
pima,2.0,3.0,0.014668797142803669,conditional
pima,2.0,3.0,0.01445216427888131,accumulated
pima,2.0,2.0,0.3269219398498535,marginal
pima,2.0,2.0,0.3954547643661499,conditional
pima,2.0,2.0,0.09013082165354812,accumulated
pima,2.0,1.0,0.3270103335380554,marginal
pima,2.0,1.0,0.39551740884780884,conditional
pima,2.0,1.0,0.09011576942168811,accumulated
pima,3.0,3.0,0.10599775612354279,marginal
pima,3.0,3.0,0.10599469393491745,conditional
pima,3.0,3.0,0.04489078884996882,accumulated
pima,3.0,2.0,0.21086996793746948,marginal
pima,3.0,2.0,0.1874103844165802,conditional
pima,3.0,2.0,0.07472356595426445,accumulated
pima,3.0,1.0,0.32447606325149536,marginal
pima,3.0,1.0,0.3942151367664337,conditional
pima,3.0,1.0,0.08994550747449592,accumulated
pima,4.0,3.0,0.058845169842243195,marginal
pima,4.0,3.0,0.06205166503787041,conditional
pima,4.0,3.0,0.031406912746804475,accumulated
pima,4.0,2.0,0.261458158493042,marginal
pima,4.0,2.0,0.25220322608947754,conditional
pima,4.0,2.0,0.11699951072202416,accumulated
pima,4.0,1.0,0.15569430589675903,marginal
pima,4.0,1.0,0.2187432497739792,conditional
pima,4.0,1.0,0.14288054898580455,accumulated
pima,5.0,3.0,0.013697443529963493,marginal
pima,5.0,3.0,0.018382001668214798,conditional
pima,5.0,3.0,0.014182027982404874,accumulated
pima,5.0,2.0,0.1848241686820984,marginal
pima,5.0,2.0,0.2144414335489273,conditional
pima,5.0,2.0,0.09304093785580132,accumulated
pima,5.0,1.0,0.32302194833755493,marginal
pima,5.0,1.0,0.39385342597961426,conditional
pima,5.0,1.0,0.08950947926811582,accumulated
pima,6.0,3.0,0.043277107179164886,marginal
pima,6.0,3.0,0.04291348159313202,conditional
pima,6.0,3.0,0.020272964845388243,accumulated
pima,6.0,2.0,0.08912773430347443,marginal
pima,6.0,2.0,0.08979307115077972,conditional
pima,6.0,2.0,0.0809679484849427,accumulated
pima,6.0,1.0,0.1575898975133896,marginal
pima,6.0,1.0,0.2071329802274704,conditional
pima,6.0,1.0,0.16335144317939987,accumulated
pima,7.0,3.0,0.14278127253055573,marginal
pima,7.0,3.0,0.15157444775104523,conditional
pima,7.0,3.0,0.061024156301712186,accumulated
pima,7.0,2.0,0.18167175352573395,marginal
pima,7.0,2.0,0.19395431876182556,conditional
pima,7.0,2.0,0.06184630283636976,accumulated
pima,7.0,1.0,0.3270050883293152,marginal
pima,7.0,1.0,0.3955151438713074,conditional
pima,7.0,1.0,0.09011710223174149,accumulated
pima,8.0,3.0,0.23282906413078308,marginal
pima,8.0,3.0,0.2227276712656021,conditional
pima,8.0,3.0,0.057734743406548286,accumulated
pima,8.0,2.0,0.09867261350154877,marginal
pima,8.0,2.0,0.10487054288387299,conditional
pima,8.0,2.0,0.08335346375640908,accumulated
pima,8.0,1.0,0.1623857021331787,marginal
pima,8.0,1.0,0.23340173065662384,conditional
pima,8.0,1.0,0.16295954775360721,accumulated
pima,9.0,3.0,0.037771906703710556,marginal
pima,9.0,3.0,0.034920528531074524,conditional
pima,9.0,3.0,0.020439237041093367,accumulated
pima,9.0,2.0,0.3270101547241211,marginal
pima,9.0,2.0,0.3955172300338745,conditional
pima,9.0,2.0,0.09011566986667488,accumulated
pima,9.0,1.0,0.3270103335380554,marginal
pima,9.0,1.0,0.39551740884780884,conditional
pima,9.0,1.0,0.09011576942054242,accumulated
pima,10.0,3.0,0.10172836482524872,marginal
pima,10.0,3.0,0.10160878300666809,conditional
pima,10.0,3.0,0.041310502315234116,accumulated
pima,10.0,2.0,0.25456541776657104,marginal
pima,10.0,2.0,0.2994804382324219,conditional
pima,10.0,2.0,0.06060759723014489,accumulated
pima,10.0,1.0,0.2889019250869751,marginal
pima,10.0,1.0,0.36299845576286316,conditional
pima,10.0,1.0,0.08246522890053348,accumulated
pima,11.0,3.0,0.02431146800518036,marginal
pima,11.0,3.0,0.028095878660678864,conditional
pima,11.0,3.0,0.014498292475211175,accumulated
pima,11.0,2.0,0.13191552460193634,marginal
pima,11.0,2.0,0.13893966376781464,conditional
pima,11.0,2.0,0.06295892925013953,accumulated
pima,11.0,1.0,0.17643049359321594,marginal
pima,11.0,1.0,0.2781345248222351,conditional
pima,11.0,1.0,0.2615997421016098,accumulated
pima,12.0,3.0,0.0617121197283268,marginal
pima,12.0,3.0,0.05905868113040924,conditional
pima,12.0,3.0,0.019307230077363915,accumulated
pima,12.0,2.0,0.3270030617713928,marginal
pima,12.0,2.0,0.3955111503601074,conditional
pima,12.0,2.0,0.09011206647807996,accumulated
pima,12.0,1.0,0.3270103335380554,marginal
pima,12.0,1.0,0.39551740884780884,conditional
pima,12.0,1.0,0.09011576941964508,accumulated
pima,13.0,3.0,0.021321158856153488,marginal
pima,13.0,3.0,0.022775668650865555,conditional
pima,13.0,3.0,0.007809065125440141,accumulated
pima,13.0,2.0,0.3184297978878021,marginal
pima,13.0,2.0,0.38706791400909424,conditional
pima,13.0,2.0,0.08762766880209727,accumulated
pima,13.0,1.0,0.3270103335380554,marginal
pima,13.0,1.0,0.39551740884780884,conditional
pima,13.0,1.0,0.09011576942110955,accumulated
pima,14.0,3.0,0.21505454182624817,marginal
pima,14.0,3.0,0.20844770967960358,conditional
pima,14.0,3.0,0.05327001491144265,accumulated
pima,14.0,2.0,0.4222843647003174,marginal
pima,14.0,2.0,0.3866868019104004,conditional
pima,14.0,2.0,0.07560147229720177,accumulated
pima,14.0,1.0,0.6096024513244629,marginal
pima,14.0,1.0,0.5584448575973511,conditional
pima,14.0,1.0,0.08414409668021228,accumulated
pima,15.0,3.0,0.017987839877605438,marginal
pima,15.0,3.0,0.02036941796541214,conditional
pima,15.0,3.0,0.012772090739512805,accumulated
pima,15.0,2.0,0.2772006094455719,marginal
pima,15.0,2.0,0.33190321922302246,conditional
pima,15.0,2.0,0.054819318422124036,accumulated
pima,15.0,1.0,0.3270103335380554,marginal
pima,15.0,1.0,0.39551740884780884,conditional
pima,15.0,1.0,0.0901157694531754,accumulated
pima,16.0,3.0,0.10479661077260971,marginal
pima,16.0,3.0,0.1032201498746872,conditional
pima,16.0,3.0,0.05094032780363373,accumulated
pima,16.0,2.0,0.10895392298698425,marginal
pima,16.0,2.0,0.12508150935173035,conditional
pima,16.0,2.0,0.12700071387789816,accumulated
pima,16.0,1.0,0.2558383643627167,marginal
pima,16.0,1.0,0.321946382522583,conditional
pima,16.0,1.0,0.09454661607299955,accumulated
pima,17.0,3.0,0.14528346061706543,marginal
pima,17.0,3.0,0.1446807086467743,conditional
pima,17.0,3.0,0.042897740046659416,accumulated
pima,17.0,2.0,0.565813422203064,marginal
pima,17.0,2.0,0.5159094333648682,conditional
pima,17.0,2.0,0.11290067816412935,accumulated
pima,17.0,1.0,0.4055582880973816,marginal
pima,17.0,1.0,0.3797077536582947,conditional
pima,17.0,1.0,0.18044096443159283,accumulated
pima,18.0,3.0,0.2580341696739197,marginal
pima,18.0,3.0,0.2967602014541626,conditional
pima,18.0,3.0,0.056505537906638446,accumulated
pima,18.0,2.0,0.3262796401977539,marginal
pima,18.0,2.0,0.3944779634475708,conditional
pima,18.0,2.0,0.08948678775095983,accumulated
pima,18.0,1.0,0.3263891637325287,marginal
pima,18.0,1.0,0.3951917290687561,conditional
pima,18.0,1.0,0.0901489116695478,accumulated
pima,19.0,3.0,0.06510358303785324,marginal
pima,19.0,3.0,0.06394784152507782,conditional
pima,19.0,3.0,0.023472406293624064,accumulated
pima,19.0,2.0,0.32602977752685547,marginal
pima,19.0,2.0,0.3942306637763977,conditional
pima,19.0,2.0,0.08886528723807155,accumulated
pima,19.0,1.0,0.3270103335380554,marginal
pima,19.0,1.0,0.39551740884780884,conditional
pima,19.0,1.0,0.09011576891392278,accumulated
heart,0.0,3.0,0.03995808959007263,marginal
heart,0.0,3.0,0.04444166272878647,conditional
heart,0.0,3.0,0.03748026534810027,accumulated
heart,0.0,2.0,0.12638914585113525,marginal
heart,0.0,2.0,0.1402837187051773,conditional
heart,0.0,2.0,0.06140093464714617,accumulated
heart,0.0,1.0,0.07307019829750061,marginal
heart,0.0,1.0,0.17200317978858948,conditional
heart,0.0,1.0,0.10952484875989077,accumulated
