s,xs,dtv,dfe,label
most important,q_0.5,0.7944303797468353,0.0026938915252685547,random:marginal
most important,q_0.5,0.7253521126760564,0.034271031618118286,random:conditional
most important,q_0.5,0.8111392405063291,1.6219298943386802,theoretical:marginal
most important,q_0.5,0.6654929577464789,1.3306999202345458,theoretical:conditional
most important,q_0.5,0.8111392405063291,0.0039112865924835205,random:marginal
most important,q_0.5,0.6654929577464789,0.032825082540512085,random:conditional
most important,q_0.5,0.7807594936708862,1.5611834563484677,theoretical:marginal
most important,q_0.5,0.6971830985915491,1.3940665831028574,theoretical:conditional
most important,q_0.5,0.7807594936708862,9.66787338256836e-05,random:marginal
most important,q_0.5,0.6971830985915491,0.018707603216171265,random:conditional
most important,q_0.5,0.7929113924050634,1.5854820315445528,theoretical:marginal
most important,q_0.5,0.7007042253521127,1.401107323421559,theoretical:conditional
most important,q_0.5,0.7929113924050634,0.0025950074195861816,random:marginal
most important,q_0.5,0.7007042253521127,0.024548262357711792,random:conditional
most important,q_0.5,0.8774683544303797,1.754559617283978,theoretical:marginal
most important,q_0.5,0.7042253521126759,1.40814806374026,theoretical:conditional
most important,q_0.5,0.8774683544303797,0.0010398626327514648,random:marginal
most important,q_0.5,0.7042253521126759,0.020696669816970825,random:conditional
most important,q_0.5,0.8435443037974684,1.6867260948615739,theoretical:marginal
most important,q_0.5,0.7535211267605634,1.5067184282020785,theoretical:conditional
most important,q_0.5,0.8435443037974684,0.0035036802291870117,random:marginal
most important,q_0.5,0.7535211267605634,0.024555891752243042,random:conditional
most important,q_0.5,0.8349367088607594,1.66951460409768,theoretical:marginal
most important,q_0.5,0.7535211267605634,1.5067184282020785,theoretical:conditional
most important,q_0.5,0.8349367088607594,0.0018565654754638672,random:marginal
most important,q_0.5,0.7535211267605634,0.020896196365356445,random:conditional
most important,q_0.5,0.8334177215189874,1.6664772821981697,theoretical:marginal
most important,q_0.5,0.704225352112676,1.4081480637402601,theoretical:conditional
most important,q_0.5,0.8334177215189874,0.0010990500450134277,random:marginal
most important,q_0.5,0.704225352112676,0.01637709140777588,random:conditional
most important,q_0.5,0.8541772151898736,1.7079873481581485,theoretical:marginal
most important,q_0.5,0.7288732394366196,1.4574332459711692,theoretical:conditional
most important,q_0.5,0.8541772151898736,0.0038842856884002686,random:marginal
most important,q_0.5,0.7288732394366196,0.012665331363677979,random:conditional
most important,q_0.5,0.9356962025316455,1.8709902900985524,theoretical:marginal
most important,q_0.5,0.7711267605633801,1.5419221297955845,theoretical:conditional
most important,q_0.5,0.9356962025316455,0.01028364896774292,random:marginal
most important,q_0.5,0.7711267605633801,0.009829282760620117,random:conditional
most important,q_0.5,0.9174683544303798,1.8345424273044248,theoretical:marginal
most important,q_0.5,0.7781690140845071,1.5560036104329877,theoretical:conditional
most important,q_0.5,0.9174683544303798,0.012414634227752686,random:marginal
most important,q_0.5,0.7781690140845071,0.015949726104736328,random:conditional
most important,q_0.5,0.8637974683544305,1.7272237201883824,theoretical:marginal
most important,q_0.5,0.7640845070422536,1.5278406491581824,theoretical:conditional
most important,q_0.5,0.8637974683544305,0.005474120378494263,random:marginal
most important,q_0.5,0.7640845070422536,0.009784698486328125,random:conditional
most important,q_0.5,0.881012658227848,1.7616467017161694,theoretical:marginal
most important,q_0.5,0.7147887323943664,1.4292702846963643,theoretical:conditional
